file,method,metric,margin_mean,gradient_mean,margin_points,gradient_points
26xaTuDMCIQ_1_s2_f0_0066.npz,Euclidean,euclidean,0.11321290243918505,0.23538354841562417,13,13
26xaTuDMCIQ_1_s2_f1_0067.npz,Euclidean,euclidean,0.24836295772166478,0.12673660048416682,21,21
26xaTuDMCIQ_1_s2_f2_0068.npz,Euclidean,euclidean,0.1956549621296718,0.15362549617010005,17,17
26xaTuDMCIQ_1_s2_f3_0069.npz,Euclidean,euclidean,0.2449065393635205,0.12030950898215884,21,21
26xaTuDMCIQ_1_s2_f4_0070.npz,Euclidean,euclidean,0.289629455833208,0.11240619350047339,21,21
28XJmUz906g_0_s0_f1_0071.npz,Euclidean,euclidean,0.5950106978416443,0.5615236957867941,3,3
28XJmUz906g_0_s0_f3_0072.npz,Euclidean,euclidean,0.8136652708053589,1.8664389848709106,1,1
28XJmUz906g_0_s0_f4_0073.npz,Euclidean,euclidean,0.531287670135498,1.7352266311645508,1,1
28XJmUz906g_0_s1_f0_0074.npz,Euclidean,euclidean,0.6005490124225616,0.3923952758312225,5,5
28XJmUz906g_0_s1_f1_0075.npz,Euclidean,euclidean,0.5253050540174756,0.2537441211087363,7,7
28XJmUz906g_0_s1_f2_0076.npz,Euclidean,euclidean,0.37884003669023514,0.8028746048609415,3,3
28XJmUz906g_0_s1_f3_0077.npz,Euclidean,euclidean,0.6300056193556104,0.2778083086013794,7,7
28XJmUz906g_0_s1_f4_0078.npz,Euclidean,euclidean,0.6579102575778961,0.27613339324792224,6,6
28XJmUz906g_0_s2_f0_0079.npz,Euclidean,euclidean,0.46507717156782746,0.12681689858436584,16,16
28XJmUz906g_0_s2_f1_0080.npz,Euclidean,euclidean,0.46103329926729203,0.07790221095085144,25,25
28XJmUz906g_0_s2_f2_0081.npz,Euclidean,euclidean,0.3947651281952858,0.1544701079527537,15,15
28XJmUz906g_0_s2_f3_0082.npz,Euclidean,euclidean,0.5002997312694788,0.1293580261990428,16,16
28XJmUz906g_0_s2_f4_0083.npz,Euclidean,euclidean,0.581951841711998,0.14499690135320029,12,12
3vheOi4y540_1_s0_f1_0084.npz,Euclidean,euclidean,0.3368632420897484,1.1444669663906097,2,2
3vheOi4y540_1_s0_f2_0085.npz,Euclidean,euclidean,0.5385874509811401,0.878688246011734,2,2
3vheOi4y540_1_s0_f3_0086.npz,Euclidean,euclidean,0.43804115056991577,1.6609443426132202,1,1
3vheOi4y540_1_s1_f0_0087.npz,Euclidean,euclidean,0.6166923642158508,0.5241819421450297,3,3
3vheOi4y540_1_s1_f1_0088.npz,Euclidean,euclidean,0.630145937204361,0.7720226347446442,2,2
3vheOi4y540_1_s1_f2_0089.npz,Euclidean,euclidean,0.5647662452289036,0.25562685302325655,7,7
3vheOi4y540_1_s1_f3_0090.npz,Euclidean,euclidean,0.5736224353313446,0.5763953328132629,3,3
3vheOi4y540_1_s1_f4_0091.npz,Euclidean,euclidean,0.4924565628170967,0.306611234943072,6,6
3vheOi4y540_1_s2_f0_0092.npz,Euclidean,euclidean,0.4369479770010168,0.1635680225762454,11,11
3vheOi4y540_1_s2_f1_0093.npz,Euclidean,euclidean,0.5015926137566566,0.20363738015294075,8,8
3vheOi4y540_1_s2_f2_0094.npz,Euclidean,euclidean,0.4669066539832524,0.27696741478783743,7,7
3vheOi4y540_1_s2_f3_0095.npz,Euclidean,euclidean,0.42075809091329575,0.15214605629444122,12,12
3vheOi4y540_1_s2_f4_0096.npz,Euclidean,euclidean,0.4191830562693732,0.14079294566597259,14,14
9xp46AwF9BY_3_s0_f2_0097.npz,Euclidean,euclidean,0.5727262496948242,1.8188014030456543,1,1
9xp46AwF9BY_3_s0_f3_0098.npz,Euclidean,euclidean,0.6024008989334106,1.8826689720153809,1,1
9xp46AwF9BY_3_s0_f4_0099.npz,Euclidean,euclidean,0.34224945803483325,0.6799273292223612,3,3
9xp46AwF9BY_3_s1_f0_0100.npz,Euclidean,euclidean,0.5674629807472229,0.8864603340625763,2,2
9xp46AwF9BY_3_s1_f1_0101.npz,Euclidean,euclidean,0.5647180676460266,0.5930104454358419,3,3
9xp46AwF9BY_3_s1_f2_0102.npz,Euclidean,euclidean,0.6550217270851135,1.749442458152771,1,1
9xp46AwF9BY_3_s1_f3_0103.npz,Euclidean,euclidean,0.5867245495319366,0.9193989038467407,2,2
9xp46AwF9BY_3_s1_f4_0104.npz,Euclidean,euclidean,0.6249109506607056,0.9015090465545654,2,2
9xp46AwF9BY_3_s2_f0_0105.npz,Euclidean,euclidean,0.5050910668713706,0.13784638685839518,14,14
9xp46AwF9BY_3_s2_f1_0106.npz,Euclidean,euclidean,0.5480938951174418,0.29875148832798004,6,6
9xp46AwF9BY_3_s2_f2_0107.npz,Euclidean,euclidean,0.5266050696372986,0.21110926568508148,9,9
9xp46AwF9BY_3_s2_f3_0108.npz,Euclidean,euclidean,0.5116105882021097,0.15046902230152717,13,13
9xp46AwF9BY_3_s2_f4_0109.npz,Euclidean,euclidean,0.5359394649664561,0.20790199273162419,9,9
BZyTr2Pku2A_2_s0_f0_0136.npz,Euclidean,euclidean,0.41313406825065613,0.8919281661510468,2,2
BZyTr2Pku2A_2_s0_f1_0137.npz,Euclidean,euclidean,0.5534139275550842,1.6446613073349,1,1
BZyTr2Pku2A_2_s0_f2_0138.npz,Euclidean,euclidean,0.41617582738399506,0.8890011310577393,2,2
BZyTr2Pku2A_2_s0_f3_0139.npz,Euclidean,euclidean,0.4252072423696518,0.8743630051612854,2,2
BZyTr2Pku2A_2_s0_f4_0140.npz,Euclidean,euclidean,0.538288950920105,1.6738725900650024,1,1
BZyTr2Pku2A_2_s1_f0_0141.npz,Euclidean,euclidean,0.4497641672690709,0.6147819558779398,3,3
BZyTr2Pku2A_2_s1_f1_0142.npz,Euclidean,euclidean,0.42802372574806213,1.6031721830368042,1,1
BZyTr2Pku2A_2_s1_f2_0143.npz,Euclidean,euclidean,0.725456714630127,1.6513992547988892,1,1
BZyTr2Pku2A_2_s1_f3_0144.npz,Euclidean,euclidean,0.4823578546444575,0.6195686260859171,3,3
BZyTr2Pku2A_2_s1_f4_0145.npz,Euclidean,euclidean,0.6058444976806641,0.8190029859542847,2,2
BZyTr2Pku2A_2_s2_f0_0146.npz,Euclidean,euclidean,0.47338464991612866,0.16647438163107092,11,11
BZyTr2Pku2A_2_s2_f1_0147.npz,Euclidean,euclidean,0.48335771821439266,0.11277031898498535,16,16
BZyTr2Pku2A_2_s2_f2_0148.npz,Euclidean,euclidean,0.4553058181817715,0.14219458057330206,13,13
BZyTr2Pku2A_2_s2_f3_0149.npz,Euclidean,euclidean,0.45419677240507944,0.1306254773267678,14,14
BZyTr2Pku2A_2_s2_f4_0150.npz,Euclidean,euclidean,0.49649965167045595,0.17739417552947997,10,10
BvtaXGFoeRA_0_s0_f0_0123.npz,Euclidean,euclidean,0.5000138878822327,1.6533511877059937,1,1
BvtaXGFoeRA_0_s0_f3_0124.npz,Euclidean,euclidean,0.5765272974967957,0.7871747314929962,2,2
BvtaXGFoeRA_0_s0_f4_0125.npz,Euclidean,euclidean,0.5291938781738281,1.6803337335586548,1,1
BvtaXGFoeRA_0_s1_f0_0126.npz,Euclidean,euclidean,0.5084848403930664,1.7492188215255737,1,1
BvtaXGFoeRA_0_s1_f1_0127.npz,Euclidean,euclidean,0.5904232462247213,0.6016353766123453,3,3
BvtaXGFoeRA_0_s1_f2_0128.npz,Euclidean,euclidean,0.602073406179746,0.2763121078411738,6,6
BvtaXGFoeRA_0_s1_f3_0129.npz,Euclidean,euclidean,0.502119529992342,0.23334994539618492,8,8
BvtaXGFoeRA_0_s1_f4_0130.npz,Euclidean,euclidean,0.540860672791799,0.5726912021636963,3,3
BvtaXGFoeRA_0_s2_f0_0131.npz,Euclidean,euclidean,0.4846047858397166,0.296533743540446,6,6
BvtaXGFoeRA_0_s2_f1_0132.npz,Euclidean,euclidean,0.484937584400177,0.38982982039451597,5,5
BvtaXGFoeRA_0_s2_f2_0133.npz,Euclidean,euclidean,0.5859330637114388,0.12037207771624837,14,14
