metric,Euclidean,Hybrid\nEuc.+HARD,HARD
paired_files,712,712,712
matched_margin_pixel_mean,0.45628233484929215,0.12708056753290373,0.09879319758898762
matched_margin_file_mean,0.5014447766965704,0.1632229841177661,0.12001289251569909
matched_margin_file_median,0.503961963703235,0.1337811851699371,0.10171856401332965
matched_gradient_pixel_mean,0.28274044162023726,0.40659940524998645,0.4383823606106878
matched_gradient_file_mean,0.7760225920788961,1.1346925472215617,1.1872341555452242
matched_gradient_file_median,0.4919633850455284,0.657617837190628,0.7111002624034881
